the max average throughput times

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,
max average power
0.000000

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
0,0,0,0,0,0,0.000000
